date,region,currency,amount
2026-01-10,NA,USD,100
2026-04-10,NA,USD,137
2026-09-10,NA,USD,174
2026-01-10,NA,USD,211
2026-04-10,NA,USD,248
2026-09-10,NA,USD,285
2026-01-10,NA,USD,322
2026-04-10,NA,USD,359
2026-09-10,NA,USD,396
2026-01-10,NA,USD,433
2026-04-10,NA,USD,470
2026-09-10,NA,USD,507
2026-01-10,NA,USD,544
2026-04-10,NA,USD,581
2026-09-10,NA,USD,618
2026-01-10,NA,USD,655
2026-04-10,NA,USD,692
2026-09-10,NA,USD,729
2026-01-10,NA,USD,766
2026-04-10,NA,USD,803
2026-09-10,NA,USD,840
2026-01-10,NA,USD,877
2026-04-10,NA,USD,914
2026-09-10,NA,USD,951
2026-01-10,NA,USD,988
2026-04-10,NA,USD,1025
2026-09-10,NA,USD,1062
2026-01-10,NA,USD,1099
2026-04-10,NA,USD,1136
2026-09-10,NA,USD,1173
2026-01-10,NA,USD,1210
2026-04-10,NA,USD,1247
2026-09-10,NA,USD,1284
2026-01-10,NA,USD,1321
2026-04-10,NA,USD,1358
2026-09-10,NA,USD,1395
2026-01-10,NA,USD,1432
2026-04-10,NA,USD,1469
2026-09-10,NA,USD,1506
2026-01-10,NA,USD,1543
2026-04-10,NA,USD,1580
2026-09-10,NA,USD,1617
2026-01-10,NA,USD,1654
2026-04-10,NA,USD,1691
2026-09-10,NA,USD,1728
2026-01-10,NA,USD,1765
2026-04-10,NA,USD,1802
2026-09-10,NA,USD,1839
2026-01-10,NA,USD,1876
2026-04-10,NA,USD,1913
2026-09-10,NA,USD,1950
2026-01-10,NA,USD,1987
2026-04-10,NA,USD,2024
2026-09-10,NA,USD,2061
2026-01-10,NA,USD,2098
2026-04-10,NA,USD,2135
2026-09-10,NA,USD,2172
2026-01-10,NA,USD,2209
2026-04-10,NA,USD,2246
2026-09-10,NA,USD,2283
2026-01-10,NA,EUR,2320
2026-04-10,NA,EUR,2357
2026-09-10,NA,EUR,2394
2026-01-10,NA,EUR,2431
2026-04-10,NA,EUR,2468
2026-09-10,NA,EUR,2505
2026-01-10,NA,EUR,2542
2026-04-10,NA,EUR,2579
2026-09-10,NA,EUR,2616
2026-01-10,NA,EUR,2653
2026-04-10,NA,EUR,2690
2026-09-10,NA,EUR,2727
2026-01-10,NA,EUR,2764
2026-04-10,NA,EUR,2801
2026-09-10,NA,EUR,2838
2026-01-10,NA,GBP,2875
2026-04-10,NA,GBP,2912
2026-09-10,NA,GBP,2949
2026-01-10,NA,GBP,2986
2026-04-10,NA,GBP,3023
2026-09-10,NA,GBP,3060
2026-01-10,NA,GBP,3097
2026-04-10,NA,GBP,3134
2026-09-10,NA,GBP,3171
2026-01-10,NA,GBP,3208
2026-04-10,NA,JPY,3245
2026-09-10,NA,JPY,3282
2026-01-10,NA,JPY,3319
2026-04-10,NA,JPY,3356
2026-09-10,NA,JPY,3393
2026-01-10,NA,JPY,3430
2026-04-10,NA,JPY,3467
2026-09-10,NA,JPY,3504
2026-01-10,NA,JPY,3541
2026-04-10,NA,JPY,3578
2026-09-10,NA,JPY,3615
2026-01-10,NA,JPY,3652
2026-04-10,NA,JPY,3689
2026-09-10,NA,JPY,3726
2026-01-10,NA,JPY,3763
2026-04-10,EU,EUR,3800
2026-09-10,EU,EUR,3837
2026-01-10,EU,EUR,3874
2026-04-10,EU,EUR,3911
2026-09-10,EU,EUR,3948
2026-01-10,EU,EUR,3985
2026-04-10,EU,EUR,4022
2026-09-10,EU,EUR,4059
2026-01-10,EU,EUR,4096
2026-04-10,EU,EUR,4133
2026-09-10,EU,EUR,4170
2026-01-10,EU,EUR,4207
2026-04-10,EU,EUR,4244
2026-09-10,EU,EUR,4281
2026-01-10,EU,EUR,4318
2026-04-10,EU,EUR,4355
2026-09-10,EU,EUR,4392
2026-01-10,EU,EUR,4429
2026-04-10,EU,EUR,4466
2026-09-10,EU,EUR,4503
2026-01-10,EU,EUR,4540
2026-04-10,EU,EUR,4577
2026-09-10,EU,EUR,4614
2026-01-10,EU,EUR,4651
2026-04-10,EU,EUR,4688
2026-09-10,EU,EUR,4725
2026-01-10,EU,EUR,4762
2026-04-10,EU,EUR,4799
2026-09-10,EU,EUR,4836
2026-01-10,EU,EUR,4873
2026-04-10,EU,EUR,110
2026-09-10,EU,EUR,147
2026-01-10,EU,EUR,184
2026-04-10,EU,EUR,221
2026-09-10,EU,EUR,258
2026-01-10,EU,EUR,295
2026-04-10,EU,EUR,332
2026-09-10,EU,EUR,369
2026-01-10,EU,EUR,406
2026-04-10,EU,EUR,443
2026-09-10,EU,EUR,480
2026-01-10,EU,EUR,517
2026-04-10,EU,EUR,554
2026-09-10,EU,EUR,591
2026-01-10,EU,EUR,628
2026-04-10,EU,EUR,665
2026-09-10,EU,EUR,702
2026-01-10,EU,EUR,739
2026-04-10,EU,EUR,776
2026-09-10,EU,EUR,813
2026-01-10,EU,EUR,850
2026-04-10,EU,EUR,887
2026-09-10,EU,EUR,924
2026-01-10,EU,EUR,961
2026-04-10,EU,EUR,998
2026-09-10,EU,EUR,1035
2026-01-10,EU,EUR,1072
2026-04-10,EU,EUR,1109
2026-09-10,EU,EUR,1146
2026-01-10,EU,EUR,1183
2026-04-10,EU,USD,1220
2026-09-10,EU,USD,1257
2026-01-10,EU,USD,1294
2026-04-10,EU,USD,1331
2026-09-10,EU,USD,1368
2026-01-10,EU,USD,1405
2026-04-10,EU,USD,1442
2026-09-10,EU,USD,1479
2026-01-10,EU,USD,1516
2026-04-10,EU,USD,1553
2026-09-10,EU,USD,1590
2026-01-10,EU,USD,1627
2026-04-10,EU,USD,1664
2026-09-10,EU,USD,1701
2026-01-10,EU,USD,1738
2026-04-10,EU,GBP,1775
2026-09-10,EU,GBP,1812
2026-01-10,EU,GBP,1849
2026-04-10,EU,GBP,1886
2026-09-10,EU,GBP,1923
2026-01-10,EU,GBP,1960
2026-04-10,EU,GBP,1997
2026-09-10,EU,GBP,2034
2026-01-10,EU,GBP,2071
2026-04-10,EU,GBP,2108
2026-09-10,EU,GBP,2145
2026-01-10,EU,GBP,2182
2026-04-10,EU,GBP,2219
2026-09-10,EU,GBP,2256
2026-01-10,EU,GBP,2293
2026-04-10,EU,JPY,2330
2026-09-10,EU,JPY,2367
2026-01-10,EU,JPY,2404
2026-04-10,EU,JPY,2441
2026-09-10,EU,JPY,2478
2026-01-10,EU,JPY,2515
2026-04-10,EU,JPY,2552
2026-09-10,EU,JPY,2589
2026-01-10,EU,JPY,2626
2026-04-10,EU,JPY,2663
2026-09-10,APAC,JPY,2700
2026-01-10,APAC,JPY,2737
